Date,Temperature,Max_Temperature,Min_Temperature,Relative_Humidity,Rainfall,Wind_Speed,Solar_Radiation
2016-10-28,18.73,23.98,14.81,73.9,4.1,3.95,19.69
2016-10-29,19.88,27.35,13.68,63.38,1.11,3.51,25.54
2016-10-30,20.93,29.4,13.97,55.1,0.18,3.1,23.63
2016-10-31,21.02,29.07,14.73,57.31,0.14,3.49,26.23
2016-11-01,20.94,29.25,14.76,62.11,0.69,3.72,23.79
2016-11-02,19.61,25.98,15.38,73.57,6.26,3.5,16.12
2016-11-03,18.57,25.11,15.37,81.78,11.72,3.47,18.37
2016-11-04,19.19,25.2,15.47,75.58,3.71,3.02,23.06
2016-11-05,19.56,26.5,14.44,70.71,2.04,3.26,17.97
2016-11-06,19.61,27.05,14.39,66.94,0.76,3.64,23.58
2016-11-07,19.57,27.21,13.72,66.82,0.63,3.26,25.01
2016-11-08,19.38,27.15,14.23,63.13,0.56,3.33,17.62
2016-11-09,19.35,26.15,14.0,65.95,0.63,2.88,22.8
2016-11-10,18.66,24.89,13.82,72.93,2.57,3.32,19.65
2016-11-11,18.54,23.94,14.75,73.24,3.94,3.27,20.69
2016-11-12,19.31,27.25,13.67,66.21,3.69,3.55,21.91
2016-11-13,19.29,26.15,14.78,72.71,2.99,4.04,22.25
2016-11-14,18.6,24.42,15.16,77.97,11.44,4.04,20.1
2016-11-15,18.24,23.85,15.03,81.35,13.21,4.43,18.0
2016-11-16,18.13,23.97,14.6,80.72,13.01,4.04,15.84
2016-11-17,17.3,21.08,15.24,84.68,13.72,3.08,15.14
2016-11-18,18.34,23.63,14.31,82.86,9.77,3.57,16.89
2016-11-19,17.42,21.75,15.32,87.64,17.97,3.44,15.48
2016-11-20,18.09,23.33,14.71,84.54,10.09,3.26,18.28
2016-11-21,18.54,23.72,15.18,83.84,12.23,3.45,15.19
2016-11-22,18.19,24.86,13.87,76.83,1.58,2.48,17.85
2016-11-23,18.12,23.47,13.26,79.56,1.29,1.81,20.88
2016-11-24,18.68,23.55,14.83,81.8,4.89,1.53,14.82
2016-11-25,18.11,23.76,15.09,81.07,3.93,1.92,22.77
2016-11-26,18.5,24.43,14.76,79.75,1.85,1.28,18.61
2016-11-27,18.83,24.69,15.13,79.76,1.0,2.52,20.41
2016-11-28,18.95,24.88,14.84,81.69,5.06,3.16,23.93
2016-11-29,18.75,24.35,15.18,83.74,4.38,3.6,20.41
2016-11-30,18.44,23.45,15.33,82.11,2.94,4.26,22.57
2016-12-01,18.5,24.61,13.46,78.49,0.17,3.27,23.18
2016-12-02,18.67,24.51,14.45,79.95,0.66,3.2,22.92
2016-12-03,18.25,23.17,15.14,81.91,1.29,3.79,20.71
2016-12-04,18.12,23.54,14.87,82.49,7.32,4.43,20.89
2016-12-05,17.73,23.59,13.63,79.04,2.93,3.87,23.77
2016-12-06,17.71,24.76,12.42,72.24,0.06,3.44,26.18
2016-12-07,18.28,24.5,13.37,76.78,0.37,3.27,22.03
2016-12-08,18.55,24.58,14.06,76.88,0.58,3.47,23.39
2016-12-09,18.71,25.59,13.67,74.14,0.18,2.97,24.6
2016-12-10,18.89,25.26,14.04,74.69,0.44,2.89,20.26
2016-12-11,18.71,24.62,14.35,78.25,1.5,3.22,22.58
2016-12-12,18.67,24.69,15.04,79.83,2.78,3.76,17.69
2016-12-13,18.11,23.98,14.0,78.95,1.92,3.73,24.21
2016-12-14,17.87,24.62,12.98,76.35,1.08,3.05,24.94
2016-12-15,19.02,26.44,13.38,70.62,0.07,2.77,24.46
2016-12-16,19.62,26.5,13.15,67.86,0.11,2.43,22.74
2016-12-17,19.14,26.3,13.9,66.65,0.02,3.43,24.44
2016-12-18,18.43,26.28,12.68,64.64,0.07,3.51,26.75
2016-12-19,17.9,26.3,11.13,59.61,0.0,3.31,27.07
2016-12-20,18.14,26.3,10.54,62.61,0.02,3.51,26.55
2016-12-21,18.79,25.77,13.9,76.79,1.07,3.85,24.25
2016-12-22,18.67,24.96,14.26,76.84,1.25,4.14,20.8
2016-12-23,18.59,25.26,14.02,72.34,0.33,4.02,23.9
2016-12-24,18.38,24.89,13.58,75.09,0.34,3.82,22.65
2016-12-25,18.86,25.78,13.89,77.09,0.61,3.18,24.19
2016-12-26,18.64,25.01,15.02,77.1,6.14,3.75,21.39
2016-12-27,18.8,24.82,14.83,77.14,1.79,3.8,24.67
2016-12-28,19.13,26.01,13.03,70.92,0.37,3.53,25.36
2016-12-29,19.28,25.57,13.68,72.28,0.28,3.39,20.98
2016-12-30,19.36,25.69,14.82,72.99,0.35,3.4,18.06
2016-12-31,19.14,25.41,14.81,72.98,0.3,3.7,19.95
2017-01-01,19.09,25.52,13.72,69.57,0.06,3.52,20.75
2017-01-02,19.2,26.34,13.69,65.02,0.01,3.28,23.79
2017-01-03,18.88,26.83,11.76,61.11,0.0,3.46,27.13
2017-01-04,18.17,26.38,10.59,58.22,0.0,3.35,27.44
2017-01-05,18.47,26.25,11.53,66.92,0.03,3.54,26.43
